Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Capacitance,Voltage,Is Generic,Symbol Type,Digi-Key Part Number,Centroid Not Specified,Resistance,Footprint 0 Description,Footprint 1 Description,Imported From,Manufacturer Link,Code Jedec,Footprint 2 Description,Packagedescription,Code Ipc,Mouser Part Number,Digikey Part Number,Digikey Description,Description,Power,Verified Attributes,Category Cda900A3Fc9B166E,Verified Geometry,Rotation,Temperature Range High,Resistance Tolerance,Category 5C6A91606D4187Ad,Temperature Range Low,Category 7542B8484461Ae85,Verified Pin Names,Mounting Type,Category 69C7A4Cd58F4B200,Verified Pad Assignment,Power Rating
C5 C1 C7 C6 C2 C4 C8 C3,Generic Capacitor (Non-Polarized) (1e-07F),Generic,Capacitor (1e-07F),,0805 (2012 metric),8,1e-07F,10v,true,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1 J2 J3 J4,3.5 mm phone jack mono,Switchcraft Inc.,35RAPC2AV,,PTH_35RAPC2AV,4,,,,,SC1457-ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5,Eurorack power connector - 16 pin,Generic,Eurorack power connector - 16 pin,,16 Pin Header - 2 Row - 2.54mm - AWG 18 Size Holes,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R2 R3 R4,Generic Resistor (1000),Generic,Resistor (1000),,0805 (2012 metric),4,,,true,Resistor,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1 U2 U3 U4,JFET-Input Operational Amplifier,Motorola,TL081CD,,,4,,,,,,,,"SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC Medium Density","SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC High Density",Altium,"http://www.onsemi.com/site/products/parametrics/0,4446,251,00.html",MS-012-AA,"SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC Low Density",8-Pin Small Outline Integrated Circuit 1.27 mm Pitch,SOIC127P600-8,,,,,,,,,,,,,,,,,,,
VR1 VR2 VR3 VR4,,TT Electronics,P160KN-0QD15B10K,Digi-Key 987-1308-ND/Newark 63M1595,PTH_POT_24MM5_17MM0,4,,,,,,No,10kΩ,,,octopart,,,,,,858-P160KN0QD15B10K,987-1308-ND,"10k Ohm 1 Gang Linear Panel Mount Potentiometer None 1 Turn Conductive Plastic 0.2W, 1/5W PC Pins",16mm Rotary Potentiometer Conductive Plastic Element,200mW,true,Potentiometers and Accessories,true,300°,+70°C,±20%,Resistors,-20°C,Passive Components,true,pcb,Potentiometers,true,200 mW
